time,f1,f2,f3
0.0005,--undefined--,--undefined--,--undefined--
0.001,--undefined--,--undefined--,--undefined--
0.0015,--undefined--,--undefined--,--undefined--
0.002,--undefined--,--undefined--,--undefined--
0.0025,--undefined--,--undefined--,--undefined--
0.003,--undefined--,--undefined--,--undefined--
0.0035,--undefined--,--undefined--,--undefined--
0.004,--undefined--,--undefined--,--undefined--
0.0045000000000000005,--undefined--,--undefined--,--undefined--
0.005,--undefined--,--undefined--,--undefined--
0.0055,--undefined--,--undefined--,--undefined--
0.006,--undefined--,--undefined--,--undefined--
0.006500000000000001,--undefined--,--undefined--,--undefined--
0.007,--undefined--,--undefined--,--undefined--
0.0075,--undefined--,--undefined--,--undefined--
0.008,--undefined--,--undefined--,--undefined--
0.0085,--undefined--,--undefined--,--undefined--
0.009000000000000001,--undefined--,--undefined--,--undefined--
0.0095,--undefined--,--undefined--,--undefined--
0.01,--undefined--,--undefined--,--undefined--
0.0105,--undefined--,--undefined--,--undefined--
0.011,--undefined--,--undefined--,--undefined--
0.0115,--undefined--,--undefined--,--undefined--
0.012,--undefined--,--undefined--,--undefined--
0.0125,--undefined--,--undefined--,--undefined--
0.013000000000000001,--undefined--,--undefined--,--undefined--
0.0135,--undefined--,--undefined--,--undefined--
0.014,--undefined--,--undefined--,--undefined--
0.0145,--undefined--,--undefined--,--undefined--
0.015,--undefined--,--undefined--,--undefined--
0.0155,--undefined--,--undefined--,--undefined--
0.016,--undefined--,--undefined--,--undefined--
0.0165,--undefined--,--undefined--,--undefined--
0.017,--undefined--,--undefined--,--undefined--
0.0175,--undefined--,--undefined--,--undefined--
0.018000000000000002,--undefined--,--undefined--,--undefined--
0.0185,--undefined--,--undefined--,--undefined--
0.019,--undefined--,--undefined--,--undefined--
0.0195,--undefined--,--undefined--,--undefined--
0.02,--undefined--,--undefined--,--undefined--
0.0205,--undefined--,--undefined--,--undefined--
0.021,--undefined--,--undefined--,--undefined--
0.021500000000000002,--undefined--,--undefined--,--undefined--
0.022,--undefined--,--undefined--,--undefined--
0.0225,--undefined--,--undefined--,--undefined--
0.023,--undefined--,--undefined--,--undefined--
0.0235,--undefined--,--undefined--,--undefined--
0.024,--undefined--,--undefined--,--undefined--
0.0245,--undefined--,--undefined--,--undefined--
0.025,1206.248301348075,2296.1521625257246,3346.503810380218
0.025500000000000002,1219.4762611229203,2292.6462472322273,3355.9134073035
0.026000000000000002,1227.322655564899,2287.445636414903,3363.0950933117956
0.0265,1233.283156887561,2278.369786100743,3370.791429127801
0.027,1235.7838245006626,2268.176304250097,3375.765456644624
0.0275,1236.3948242815372,2252.1806940760116,3377.9379411731293
0.028,1235.3411728467852,2235.0852909631335,3372.978028047764
0.0285,1232.6983298743266,2209.342270732884,3348.8261042481768
0.029,1229.700155782627,2183.510784259473,3302.560652127168
0.029500000000000002,1225.5686583744543,2148.599792796586,3225.987599700792
0.03,1222.0025811581404,2118.359246565838,3170.7235068511504
0.0305,1217.9760041542709,2083.6534900389684,3126.072660701602
0.031,1215.121393333318,2057.684565737554,3103.7417007519252
0.0315,1212.5994113555585,2030.937251269694,3089.037766904145
0.032,1211.4088314107682,2012.310817906519,3083.4961247922492
0.0325,1211.158800853348,1993.8762307294892,3082.079688005925
0.033,1211.9159443605856,1981.2721513633562,3083.839248745888
0.0335,1213.885962140139,1968.8054284830312,3088.2881859931404
0.034,1216.308529673152,1960.1747711311752,3093.3069431144872
0.0345,1220.027697124513,1951.4584078870764,3100.314202377608
0.035,1223.734077829782,1945.309878421002,3106.616347257686
0.035500000000000004,1228.8637969269364,1939.1362520091268,3114.356849605616
0.036000000000000004,1233.6841646418866,1935.067912656992,3120.700532752856
0.0365,1240.0519833135809,1931.8224065446436,3127.9007435097874
0.037,1245.6926853322427,1930.94051065617,3133.3648393831513
0.0375,1252.4683475364377,1932.8037983599256,3139.0682110864063
0.038,1257.6324575281155,1937.327788759572,3142.9590436929766
0.0385,1262.4618887421996,1946.6408080117392,3146.3690831329372
0.039,1264.7036277706095,1957.36110302413,3147.883239988203
0.0395,1264.5378937757057,1972.6268585762036,3147.4570023276174
0.04,1261.5653697965627,1985.9820200239344,3144.326842587044
0.0405,1254.071511768777,2000.9044158419126,3135.412096410565
0.041,1244.089229191021,2011.2367567019705,3121.8795013924005
0.0415,1226.905762546426,2020.2567214435828,3096.6954039776283
0.042,1207.6593755961305,2024.8327688999866,3068.9217723752818
0.0425,1178.1677955805244,2027.1823570874558,3031.24137611602
0.043000000000000003,1148.4164798537377,2027.060224237652,3000.0376551387394
0.043500000000000004,1107.703683840049,2025.1332491150442,2966.5928025116004
0.044,1071.2828162919016,2022.4847825817262,2943.5117486145264
0.0445,1027.1982108578034,2018.4019352677813,2921.7878081630706
0.045,992.0753736208205,2014.3793877867165,2908.0683559097547
0.0455,953.7061420809645,2008.8850776197116,2895.745113040179
0.046,925.7211473019539,2003.7945749040043,2888.064639360217
0.0465,897.3304221885533,1997.1568990853202,2881.0626397369374
0.047,877.9547668120665,1991.29267696573,2876.563232663906
0.0475,859.5506390034682,1984.053272811151,2872.3228754663205
0.048,847.962594847935,1978.0498001868414,2869.523381816634
0.0485,838.2134352638406,1971.179001666357,2866.8413651775113
0.049,833.344414769119,1965.9913209776128,2865.0516404304985
0.0495,831.2270302361939,1960.7621684056542,2863.314177316711
0.05,832.4748543594168,1957.5103705073757,2862.1263967717177
0.0505,837.4861570255418,1955.2638917658414,2860.9317561816797
0.051000000000000004,844.4756359194975,1954.9869637475888,2860.089107546161
