time,f1,f2,f3
0.001,--undefined--,--undefined--,--undefined--
0.002,--undefined--,--undefined--,--undefined--
0.003,--undefined--,--undefined--,--undefined--
0.004,--undefined--,--undefined--,--undefined--
0.005,--undefined--,--undefined--,--undefined--
0.006,--undefined--,--undefined--,--undefined--
0.007,--undefined--,--undefined--,--undefined--
0.008,--undefined--,--undefined--,--undefined--
0.009000000000000001,--undefined--,--undefined--,--undefined--
0.01,--undefined--,--undefined--,--undefined--
0.011,--undefined--,--undefined--,--undefined--
0.012,--undefined--,--undefined--,--undefined--
0.013000000000000001,--undefined--,--undefined--,--undefined--
0.014,--undefined--,--undefined--,--undefined--
0.015,--undefined--,--undefined--,--undefined--
0.016,--undefined--,--undefined--,--undefined--
0.017,--undefined--,--undefined--,--undefined--
0.018000000000000002,--undefined--,--undefined--,--undefined--
0.019,--undefined--,--undefined--,--undefined--
0.02,--undefined--,--undefined--,--undefined--
0.021,--undefined--,--undefined--,--undefined--
0.022,--undefined--,--undefined--,--undefined--
0.023,--undefined--,--undefined--,--undefined--
0.024,--undefined--,--undefined--,--undefined--
0.108,1179.121060441243,2054.9274313700007,2929.2756685688246
0.109,1086.6032133180274,2033.3909779996548,2891.434069256315
0.11,993.6280024641939,2012.2570164641563,2876.7465464527036
0.111,913.8736967237517,1991.16523557062,2870.5240901024463
0.112,850.9333615133334,1968.8427125822075,2866.037371280795
0.113,805.1144819789582,1943.5081672518788,2861.837013797122
0.114,777.1550406608467,1912.875404735023,2858.8193895614418
0.115,767.6723165499196,1876.9550483471867,2859.403536487204
0.116,775.6157396957121,1845.5472143790607,2867.983671838054
0.117,796.4666302045274,1844.206893234573,2892.432281265796
0.11800000000000001,819.4814020339261,1901.4279155368033,2946.3307984967
0.11900000000000001,832.300678158134,1993.2993233319748,3030.326037509663
0.12,832.4908886812248,2050.100804439663,3106.1423187834303
0.121,825.0986288567832,2070.5838614392233,3156.959805699156
0.122,815.0397745821521,2075.036138925726,3190.0531819651346
0.123,805.303803785533,2073.258170976682,3212.2745323024733
0.124,797.5670233417459,2069.566325812746,3227.66988638035
0.125,792.8969177849608,2066.2511018191917,3238.6509892765507
0.126,792.2997987643796,2064.7725663126093,3246.682137272336
0.127,797.3350706541761,2066.1634116069886,3252.6125527193767
0.128,811.1334923041701,2071.115810803307,3256.8539518012103
0.129,839.6443069763294,2079.884301744021,3259.49963536937
0.13,888.1747921205156,2092.117310504778,3260.4426226723185
0.131,947.1473890719412,2106.827006159299,3259.5198818941494
