time,f1,f2,f3
0.001,--undefined--,--undefined--,--undefined--
0.002,--undefined--,--undefined--,--undefined--
0.003,--undefined--,--undefined--,--undefined--
0.004,--undefined--,--undefined--,--undefined--
0.005,--undefined--,--undefined--,--undefined--
0.006,--undefined--,--undefined--,--undefined--
0.007,--undefined--,--undefined--,--undefined--
0.008,--undefined--,--undefined--,--undefined--
0.009000000000000001,--undefined--,--undefined--,--undefined--
0.01,--undefined--,--undefined--,--undefined--
0.011,--undefined--,--undefined--,--undefined--
0.012,--undefined--,--undefined--,--undefined--
0.013000000000000001,--undefined--,--undefined--,--undefined--
0.014,--undefined--,--undefined--,--undefined--
0.015,--undefined--,--undefined--,--undefined--
0.016,--undefined--,--undefined--,--undefined--
0.017,--undefined--,--undefined--,--undefined--
0.018000000000000002,--undefined--,--undefined--,--undefined--
0.019,--undefined--,--undefined--,--undefined--
0.02,--undefined--,--undefined--,--undefined--
0.021,--undefined--,--undefined--,--undefined--
0.022,--undefined--,--undefined--,--undefined--
0.023,--undefined--,--undefined--,--undefined--
0.024,--undefined--,--undefined--,--undefined--
0.025,1206.8467803674343,2296.5208069030687,3346.146522049021
0.026000000000000002,1222.6897776364813,2284.439499623938,3366.160824389651
0.027,1224.4154862775592,2259.2003889023945,3384.5681959630488
0.028,1215.496764515691,2214.292331403869,3377.375824908211
0.029,1201.0555266199378,2147.9084953003307,3164.464808965997
0.03,1187.1312425845588,2080.0242575367615,3057.841711903836
0.031,1178.4311420164306,2028.5472326898646,3032.2715082419622
0.032,1176.7017970307206,1993.276987606574,3034.6279638805154
0.033,1181.22680913782,1969.1220293034823,3047.919649613758
0.034,1190.2123800710965,1951.9455648163232,3065.6730020396913
0.035,1202.0718660740922,1939.098599023309,3084.8396382561596
0.036000000000000004,1216.1212160790865,1929.7953654934809,3103.4677323674955
0.037,1232.0269383791776,1926.0349018017873,3119.905845670988
0.038,1247.8347817904537,1932.6620490811395,3132.722405126577
0.039,1258.6303237449886,1953.4750097618653,3140.5225796513296
0.04,1258.7581200708303,1983.8424680005596,3140.045008580859
0.041,1244.0638119800328,2011.2173168350726,3121.830336412738
0.042,1210.0219903378045,2026.3218436345292,3073.607311449962
0.043000000000000003,1152.3910772462218,2029.0860396178703,3006.607309383775
0.044,1075.5128690842591,2024.401362081873,2949.385019995813
0.045,995.5059623975872,2015.994165604822,2912.7460871386625
0.046,928.1663687898156,2005.1356915366941,2891.780622867464
0.047,879.7001120980873,1992.4395770016538,2879.5734774501725
0.048,849.3400226266477,1979.0848494689772,2872.029732704451
0.049,834.6138183097272,1966.9996495501753,2867.226118080537
0.05,833.8450950231447,1958.5925395815673,2864.1161719438446
0.051000000000000004,846.1290460253806,1956.2782224209186,2862.0128737392843
0.052000000000000005,869.8644025591048,1961.6762566378586,2860.6824158016384
0.053,901.0945459970051,1974.3842123672491,2860.544099897444
0.054,933.6619563823494,1990.979453953935,2862.638916476687
0.055,961.8268528976814,2005.7847754326167,2868.419952818792
0.056,982.7178224057565,2013.482149904443,2879.6568062880633
0.057,996.2838576616439,2010.9061939882174,2898.18908359068
0.058,1003.7067382777566,1997.0206160482337,2924.464227513798
0.059000000000000004,1006.3992905884118,1973.4716495011087,2955.4020806938656
0.06,1006.3475010711456,1945.7444405498936,2985.0563523742567
0.061,1006.5985047511008,1921.3221851851092,3008.3779430136333
0.062,1010.2401235295855,1905.427409295248,3023.3344239844764
0.063,1018.3629205495477,1899.0897055293437,3030.1707277523474
0.064,1029.4483747194274,1900.2489819823147,3030.2942884054155
0.065,1040.9186184822092,1905.5964197962348,3025.81804745751
0.066,1050.914100330518,1911.9980976577447,3019.227232722758
0.067,1058.8694228217441,1917.1254394162734,3012.815344962387
0.068,1065.243050584706,1919.278461809758,3008.119403452469
0.069,1071.0352834291318,1916.9545788572314,3005.6415322328235
0.07,1077.2821333319885,1909.0881506953456,3005.040188843774
0.07100000000000001,1084.4086183935533,1896.5046584236281,3005.5611438449596
0.07200000000000001,1091.4737807420518,1883.6704846223834,3006.1579561969065
0.073,1096.1631778550661,1878.1763320712346,3005.204289196665
0.074,1096.3618303447165,1886.4329698510858,3000.258710613236
0.075,1091.856811776118,1909.3002174707099,2988.490661015399
0.076,1084.0303962310559,1942.5919489130204,2968.3707732652174
0.077,1074.535473173781,1980.9434582540136,2942.4891150247213
0.078,1064.7636822764969,2020.8267765484945,2918.54217145103
0.079,1055.8399510612583,2061.007657428384,2905.347404690847
0.08,1048.4209505032607,2100.7891666628093,2907.657981240064
0.081,1042.7139331671156,2138.4997972456526,2925.2628150563146
0.082,1039.2502702495642,2172.278107256568,2955.5763617417906
0.083,1039.7765742113747,2201.4984618183535,2996.77726597753
0.084,1047.3908303413518,2226.9935379366966,3050.6037054561702
0.085,1065.7012061555674,2250.446430229118,3124.1584509491245
0.08600000000000001,1096.9930756532522,2272.8565240964003,3216.622081885355
0.08700000000000001,1139.3682362171269,2292.0394271810355,3286.2917537816284
0.088,1184.4573139671782,2303.4154616743995,3320.3026497127476
0.089,1221.199925992892,2304.9375866491587,3339.735473491405
0.09,1244.3705797239172,2297.633428214292,3354.789903737965
0.091,1255.7998137810293,2282.27296317516,3366.7318653541815
0.092,1259.7105130221573,2257.154723821253,3369.723934013668
0.093,1259.708154363861,2217.843542646798,3346.755992116547
0.094,1258.1840667892038,2161.6563013597874,3274.4038028427417
0.095,1257.0467396205745,2098.1616514579664,3188.9488608736433
0.096,1258.4876794032639,2043.9056130687218,3142.9160346500685
0.097,1264.5037204141681,2004.8961410084335,3129.2545328713104
0.098,1276.0465313503173,1978.1527995057104,3133.3006551791345
0.099,1293.4201138919843,1959.2089403644181,3147.0715937642585
0.1,1317.2867789455572,1945.7736456123769,3166.1189774010013
0.101,1347.6606186688134,1940.4954595826184,3187.3618679550777
0.10200000000000001,1379.2642764394418,1953.3826149401098,3209.1625217911624
0.10300000000000001,1401.7305166086703,1993.298805055939,3232.838676418679
0.10400000000000001,1411.562662031349,2045.770995419707,3262.6380235324505
0.105,1410.720097584223,2079.1022424526222,3298.595680006261
0.106,1394.3823695871072,2074.8225427939797,3206.899090956494
0.107,1344.4644254405337,2042.6966660714602,3000.5447470541853
