time,f1,f2,f3
0.001,--undefined--,--undefined--,--undefined--
0.002,--undefined--,--undefined--,--undefined--
0.003,--undefined--,--undefined--,--undefined--
0.004,--undefined--,--undefined--,--undefined--
0.005,--undefined--,--undefined--,--undefined--
0.006,--undefined--,--undefined--,--undefined--
0.007,--undefined--,--undefined--,--undefined--
0.008,--undefined--,--undefined--,--undefined--
0.009000000000000001,--undefined--,--undefined--,--undefined--
0.01,--undefined--,--undefined--,--undefined--
0.011,--undefined--,--undefined--,--undefined--
0.012,--undefined--,--undefined--,--undefined--
0.013000000000000001,--undefined--,--undefined--,--undefined--
0.014,--undefined--,--undefined--,--undefined--
0.015,--undefined--,--undefined--,--undefined--
0.016,--undefined--,--undefined--,--undefined--
0.017,--undefined--,--undefined--,--undefined--
0.018000000000000002,--undefined--,--undefined--,--undefined--
0.019,--undefined--,--undefined--,--undefined--
0.02,--undefined--,--undefined--,--undefined--
0.021,--undefined--,--undefined--,--undefined--
0.022,--undefined--,--undefined--,--undefined--
0.023,--undefined--,--undefined--,--undefined--
0.024,--undefined--,--undefined--,--undefined--
0.025,1079.385787691346,2140.97811156583,2656.6481659450033
0.026000000000000002,1124.0629145667274,2191.0551011624116,2740.5392816352537
0.027,1155.64332433102,2184.583569755996,3005.8746993338877
0.028,1166.5889978299563,2148.49938829354,3038.962630780324
0.029,1158.5913671256649,2093.2092879857873,2994.094642338477
0.03,1139.4134722390643,2033.4748392694785,2963.2353963662267
0.031,1120.5192719473155,1986.1170111022877,2954.2369002012456
0.032,1109.9115054382055,1954.0418874240124,2961.272850495894
0.033,1108.84925181044,1932.1466929207454,2977.6884563538656
0.034,1114.6304723683245,1915.446206560541,2998.4947779631134
0.035,1123.873138560159,1900.8715959541055,3020.004252554767
0.036000000000000004,1134.6091357058729,1887.4993543586743,3039.5012442849347
0.037,1146.8834234509545,1877.1864138140577,3055.123916266738
0.038,1161.548842199367,1875.072243236079,3065.6786962868914
0.039,1177.1629034842465,1887.9039720047017,3069.430751595599
0.04,1186.7193729167234,1917.422438234075,3059.911240010626
0.041,1179.0122333850923,1952.4165895105652,3021.8309469005503
0.042,1144.2789372860818,1976.7351361881817,2950.316625532839
0.043000000000000003,1081.5799160568956,1986.6303433594437,2876.961249090777
0.044,1005.370904752431,1988.039648466019,2832.5058620892755
0.045,935.2179071998786,1985.328289026977,2817.5420062321596
0.046,881.2481682336263,1979.5432733135742,2819.223424140821
0.047,844.3072559943969,1970.9496695411733,2826.255590708494
0.048,821.7392352004447,1960.3650750963957,2832.4901471956264
0.049,811.0920951524909,1949.423383554257,2836.0771557526527
0.05,811.4111232111629,1940.476350482422,2837.368829920064
0.051000000000000004,822.9402203823323,1936.2462472033585,2837.3989781287046
0.052000000000000005,845.732424082448,1939.0843001574494,2837.356945127176
0.053,877.8232932214473,1949.885227715143,2838.6114910163164
0.054,914.513312821264,1967.2476922902276,2842.9061452738188
0.055,950.3706615478529,1987.8654651706195,2852.553313781219
0.056,982.2437864703096,2007.8479888155255,2870.125995994139
0.057,1009.5726495970042,2022.9201305475274,2896.811926735599
0.058,1032.450774124782,2028.8775910766176,2930.337914303132
0.059000000000000004,1050.76393389219,2024.6911474980964,2965.492741220205
0.06,1065.0056947872456,2013.9519048088523,2997.1397331480675
0.061,1076.5550743262843,2002.4059643724695,3022.225299566943
0.062,1086.4663460225456,1994.4951303994044,3039.6515716635117
0.063,1094.3416896339893,1991.2911275501044,3049.372195212548
0.064,1099.008545395662,1990.914341747878,3051.935077550358
0.065,1100.052167188052,1990.546762192606,3048.544937798279
0.066,1098.1910110425763,1987.9064610697362,3041.035037591151
0.067,1094.6108913466162,1981.3774059576285,3031.456676210687
0.068,1090.3811219978845,1969.5219035240914,3021.5651920606488
0.069,1086.3048665396832,1950.8656454852207,3012.5199318569034
0.07,1082.9114413586894,1924.6662398196277,3004.839731332146
0.07100000000000001,1080.3041525691874,1893.023944065225,2998.4583403639967
0.07200000000000001,1077.9570545977206,1862.7760388579925,2992.6298857908446
0.073,1074.7768307687043,1843.3112337074162,2985.534704604055
0.074,1069.3500737662187,1840.1731716180345,2973.785509511584
0.075,1060.1776131430422,1851.0758179822524,2952.5227176601975
0.076,1046.3440781294323,1868.5437282733121,2917.8617684683927
0.077,1028.498869038903,1886.2738688400223,2873.015531486696
0.078,1008.9396069804351,1903.0033347171102,2830.3723553877767
0.079,990.307957739714,1920.7118623326357,2801.03982578985
0.08,974.2344869270883,1940.8582392797182,2787.00565639317
0.081,961.2768443072873,1963.070012622812,2784.480284157183
0.082,951.7406595978863,1985.7582674422463,2788.4735984537497
0.083,946.4168675064981,2006.8193604834598,2794.351623111472
0.084,946.8041230125141,2024.2112514499527,2797.70216281691
0.085,954.7536283144261,2036.8631807603922,2793.8153123341194
0.08600000000000001,971.7663238399849,2046.0425896428437,2777.516853215527
0.08700000000000001,998.5399240902383,2057.2320533025004,2744.7794428907537
0.088,1035.0455997761137,2083.1036495372855,2697.624653811441
0.089,1079.5580608561345,2141.6309957555322,2656.5355485452856
0.09,1124.4832649498271,2192.194593068468,2741.649228272445
